"<li><strong>Which company planned to buy additional 0.93% stake (1.15% stake bought earlier) in Jio platforms recently? </strong><br/>
1) Mubadala<br/>
2) Silver Lake<br/>
3) Vista Equity Partners<br/>
4) General Atlantic<br/>
5) KKR<br/>
","-<strong>2) Silver Lake </strong><br/>
<strong>Explanation:</strong><br/>
Following the investment of Abu Dhabi’s Mubadala Investment Company in Reliance’s Jio Platforms, US (United States) private equity company Silver Lake partners announced an investment of Rs 4,546.80 crore for an additional 0.93 % stake in Jio Platforms, a subsidiary of Asia’s richest man Mukesh Ambani-controlled Reliance Industries Ltd (RIL).<br/>
</div></div><br/></li>"
"<li><strong>Which organization/Centre developed the “Safe online learning in the times of COVID-19” booklet along with UNESCO to raise awareness to students and teachers about online safety? </strong><br/>
1) National Board of Accreditation (NBA)<br/>
2) National Book Trust (NBT)<br/>
3) Central Board of Secondary Education (CBSE)<br/>
4) National Council of Educational Research and Training (NCERT)<br/>
5) Educational Consultants (India) Limited (EdCIL)<br/>
","-<strong>4) National Council of Educational Research and Training (NCERT) </strong><br/>
<strong>Explanation:</strong><br/>
Union Minister for Human Resource Development (HRD) Ramesh Pokhriyal Nishank launched information booklet “Safe online learning in the times of COVID-19” digitally to raise awareness to students and teachers about online safety &amp; ensure timely action in cases of cyberbullying in New Delhi. The booklet is developed by The National Council of Educational Research and Training (NCERT) and United Nations Educational, Scientific and Cultural Organization (UNESCO) New Delhi Office.<br/>
</div></div><br/></li>"
"<li><strong>Which data sharing website was blocked by Government of India recently? </strong><br/>
1) SmartTransfer<br/>
2) Firefox Send<br/>
3) WeTransfer<br/>
4) Xender<br/>
5) ShareIt<br/>
","-<strong>3) WeTransfer </strong><br/>
<strong>Explanation:</strong><br/>
The government has ordered internet service providers to block the computer file-sharing website WeTransfer due to security reasons. The order issued by the Department of Telecom on May 18 directed all ISP to block two download links on the Dutch website WeTransfer and also the entire website www.wetransfer.com.<br/>
</div></div><br/></li>"
"<li><strong> What is the amount that was allocated for the Jal Shakti mission in Budget 2020? </strong><br/>
1) 11,500 Cr<br/>
2) 10,000 Cr<br/>
3) 10,500 Cr<br/>
4) 12,000 Cr<br/>
5) 12,500 Cr<br/>
","-<strong>1) 11,500 Cr </strong><br/>
<strong>Explanation:</strong><br/>
Government approves Rs 11,500 cr for Jal Jeevan Mission for FY21. The government has approved a budgetary allocation of Rs 11,500 crore for Jal Jeevan Mission for the year 2020-21.<br/>
</div></div><br/></li>"
"<li><strong>Name the storm which hits El Salvador and Guatemala recently. </strong><br/>
1) Hanna<br/>
2) Arthur<br/>
3) Bertha<br/>
4) Fay<br/>
5) Amanda<br/>
","-<strong>5) Amanda </strong><br/>
<strong>Explanation:</strong><br/>
Rains from Tropical Storm Amanda left at least 17 dead and seven missing while causing extensive damage across El Salvador and Guatemala that pushed thousands of people into shelters amid the coronavirus pandemic. EL Salvador Interior Minister Mario Durán said Monday some 7,000 people were scattered across 154 shelters. He said a quarter of the rain that the country normally receives in a year fell in 70 hours.<br/>
</div></div><br/></li>"
"<li><strong>Sri Venkateswara National Park is located in which state? </strong><br/>
1) Kerala<br/>
2) Telangana<br/>
3) Andhra Pradesh<br/>
4) Tamil Nadu<br/>
5) Karnataka<br/>
","-<strong>3) Andhra Pradesh </strong><br/>
<strong>Explanation:</strong><br/>
Sri Venkateshwara National Park is a national park and biosphere reserve in Andhra Pradesh, India.<br/>
</div></div><br/></li>"
"<li><strong>Who is the president of Council of Scientific &amp; Industrial Research (CSIR)? </strong><br/>
1) Finance Minister<br/>
2) Prime Minister<br/>
3) Science Minister<br/>
4) Home Minister<br/>
5) Environment Minister<br/>
","-<strong>2) Prime Minister </strong><br/>
<strong>Explanation:</strong><br/>
Prime Minister of India will hold the post of president of Council of Scientific &amp; Industrial Research.<br/>
</div></div><br/></li>"
"<li><strong>Where is Aryabhatta Research institute of Observational Science (ARIES) located? </strong><br/>
1) Nainital<br/>
2) Kanpur<br/>
3) Mandi<br/>
4) Ranchi<br/>
5) Bhopal<br/>
","-<strong>1) Nainital </strong><br/>
<strong>Explanation:</strong><br/>
Aryabhatta Research Institute of Observational Sciences is a leading research institute in Nainital, Uttarakhand which specializes in Astronomy, Astrophysics and Atmospheric Sciences.<br/>
</div></div><br/></li>"
"<li><strong>Where is the HQ of NABARD located? </strong><br/>
1) Bhopal<br/>
2) Kolkata<br/>
3) New Delhi<br/>
4) Pune<br/>
5) Mumbai<br/>
","-<strong>5) Mumbai </strong><br/>
<strong>Explanation:</strong><br/>
National Bank for Agriculture and Rural Development (NABARD) has its head office at Mumbai, India.<br/>
</div></div><br/></li>"
"<li><strong>The Power and New &amp; Renewable Energy minister (I/C) RK Singh launched pan India RTM in electricity recently. What does ‘T’ in RTM denotes? </strong><br/>
1) Term<br/>
2) Test<br/>
3) Team<br/>
4) Time<br/>
5) Transfer<br/>
","-<strong>4) Time </strong><br/>
<strong>Explanation:</strong><br/>
Minister of State (IC) Power and New &amp; Renewable Energy &amp; Minister of State (Skill Development and Entrepreneurship), R. K. Singh launched Pan-India Real Time Market(RTM) in electricity through video conference in New Delhi, which has positioned Indian electricity market in the league of few electricity markets in the world, which have a RTM.<br/>
</div></div><br/></li>"
"<li><strong>Minister of Electronics and Information Technology Ravi Shankar Prasad launched a trilogy of schemes namely “Electronics Manufacturing Scheme 2.0” recently. What is the outlay of the scheme? </strong><br/>
1) Rs 10,000 crore<br/>
2) Rs 50,000 crore<br/>
3) Rs 20,000 crore<br/>
4) Rs 25,000 crore<br/>
5) Rs 70,000 crore<br/>
","-<strong>2) Rs 50,000 crore </strong><br/>
<strong>Explanation:</strong><br/>
Minister of Electronics and Information Technology (MEITY) Ravi Shankar Prasad launched a trilogy (group of three) of schemes namely “Electronics Manufacturing Scheme 2.0” with an outlay of Rs 50,000 crore (approximately $7 billion) to boost electronic manufacturing in India. These will contribute in achieving a USD 1 Trillion digital economy and a USD 5 Trillion GDP by 2025.Production Linked Incentive Scheme (PLI) for Large Scale Electronics Manufacturing, Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (SPECS) Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme.<br/>
</div></div><br/></li>"
"<li><strong>Which is the 1st Indian state to declare internet as fundamental right? </strong><br/>
1) Maharashtra<br/>
2) Goa<br/>
3) Tamil Nadu<br/>
4) Kerala<br/>
5) Haryana<br/>
","-<strong>4) Kerala </strong><br/>
<strong>Explanation:</strong><br/>
Kerala Chief Minister PinarayiVijayan announced on a Rs.1500 crore Kerala Fiber Optic Network(K-FON) project executed by the association of Bharat Electronics Limited(BEL), RailTel Corporation (Public sector companies) and SRIT and LS Cables (Private sector companies) to provide free internet access for the poor by December 2020 and become the first state to declare the internet as a fundamental right of the citizen.<br/>
</div></div><br/></li>"
"<li><strong>KondapochammaSagar project was inaugurated in which state? </strong><br/>
1) Tamil Nadu<br/>
2) Karnataka<br/>
3) Andhra Pradesh<br/>
4) Telangana<br/>
5) Madhya Pradesh<br/>
","-<strong>4) Telangana </strong><br/>
<strong>Explanation:</strong><br/>
The another milestone in Kaleshwaram Lift Irrigation Project, the Markookpumphouse was inaugurated and released to KondapochammaSagar project by Telangana chief minister K Chandrasekhar Rao.<br/>
</div></div><br/></li>"
"<li><strong>Name the longest expressway of India, which is likely to be completed by 2021. </strong><br/>
1) Yamuna Expressway<br/>
2) Delhi–Meerut Expressway<br/>
3) Himalayan Expressway<br/>
4) Purvanchal Expressway<br/>
5) Belghoria Expressway<br/>
","-<strong>4) Purvanchal Expressway </strong><br/>
<strong>Explanation:</strong><br/>
Purvanchal Expressway: India’s longest expressway –in Uttar Pradesh is likely to be completed by the end of the year. The foundation stone of the Purvanchal Expressway project was laid by Prime Minister Narendra Modi in Azamgarh, located in the state of Uttar Pradesh in July 2018.<br/>
</div></div><br/></li>"
"<li><strong>‘COVID-19 Technology Access Pool’ (C-Tap) was launched by WHO for equal access to life-saving technology around the world. How many countries supported C-Tap (till May 29, 2020)? </strong><br/>
1) 56<br/>
2) 49<br/>
3) 42<br/>
4) 28<br/>
5) 35<br/>
","-<strong>5) 35 </strong><br/>
<strong>Explanation:</strong><br/>
The COVID-19 (Technology) Access Pool or C-TAP which was mooted by President Carlos Alvarado of Costa Rica has been launched by the World Health Organization (WHO) during an event co-hosted by WHO and Costa Rica on May 29, 2020 at Geneva, Switzerland. This was launched after 35 countries and multiple international partners and institutions have signed for this pool to support it.Countries that have supported C-TAP till May 29, 2020: 35.<br/>
</div></div><br/></li>"
"<li><strong>Which country has proposed the idea of G7+3 named as 10 Democracies (D10)? </strong><br/>
1) United States<br/>
2) Russia<br/>
3) Germany<br/>
4) United Kingdom<br/>
5) Canada<br/>
","-<strong>4) United Kingdom </strong><br/>
<strong>Explanation:</strong><br/>
The United States(US) and the United Kingdom(UK) have proposed the expansion of the G7 grouping. While the United States has proposed G7+4,which includes India, Australia, South Korea and Russia,the United Kingdom wants a G7+3, calling it ’10 Democracies (D10)’ which excludes Russia.<br/>
</div></div><br/></li>"
"<li><strong>Name the bank which has partnered with Transport Corporation of India Limited (TCIL) to facilitate real time payments for truck drivers. </strong><br/>
1) DBS bank<br/>
2) OCBC Bank<br/>
3) Standard Chartered<br/>
4) Citibank<br/>
5) None of these<br/>
","-<strong>1) DBS bank </strong><br/>
<strong>Explanation:</strong><br/>
DBS Bank India partnered with Transport Corporation of India Limited (TCIL)to facilitate real time payments for truck drivers by DBS RAPID(Real Time Application Program Interface-APIs by DBS) solution to enable them to receive payments instantly.<br/>
</div></div><br/></li>"
"<li><strong>Who has been appointed as the new president of Confederation of Indian Industry (CII)? </strong><br/>
1) VikramKirloskar<br/>
2) Uday Kotak<br/>
3) Sangita Reddy<br/>
4) Sanjiv Mehta<br/>
5) Pawan Kr Agarwal<br/>
","-<strong>2) Uday Kotak </strong><br/>
<strong>Explanation:</strong><br/>
The Confederation of Indian Industry(CII) announced its new office bearers for 2020-2021. Uday Kotak, Managing Director and CEO of Kotak Mahindra Bank succeeds VikramKirloskar, Chairman and Managing Director of Kirloskar System and vice chairman of Toyota Kirloskar Motor as the new President of CII.<br/>
</div></div><br/></li>"
"<li><strong>VirendraNathDatt was appointed as chairman and managing director (CMD) of National Fertilizers Limited (NFL). Where is the HQ of NFL located? </strong><br/>
1) Guwahati<br/>
2) Ranchi<br/>
3) Patna<br/>
4) Noida<br/>
5) Gangtok<br/>
","-<strong>4) Noida </strong><br/>
<strong>Explanation:</strong><br/>
Shri VirendraNathDatt has taken over the additional charge as chairman and managing director (CMD) of National Fertilizers Limited (NFL). He has been director (marketing) of the company since October 2018.National Fertilizers Limited (NFL): Headquarters– Noida,Uttar Pradesh.<br/>
</div></div><br/></li>"
"<li><strong>Which Indian writer has won 2020 Commonwealth short story prize (for Asia region) for the story “The Great Indian Tee and Snakes”? </strong><br/>
1) Varsha Adalja<br/>
2) Meena Alexander<br/>
3) Kritika Pandey<br/>
4) Smita Agarwal<br/>
5) Samina Ali<br/>
","-<strong>Kritika Pandey </strong><br/>
<strong>Explanation:</strong><br/>
Kritika Pandey, a 29-year-old Indian Writer from Ranchi, was announced as the winner of regional award for Asia in 2020 Commonwealth short story prize for her story “The Great Indian Tee and Snakes” – about love in an age of hatred and prejudice.<br/>
</div></div><br/></li>"
"<li><strong>Find the Indian NGO which has won the World Health Organization’s ‘World No Tobacco Day Award 2020’. </strong><br/>
1) Ya_All<br/>
2) Goonj<br/>
3) Katha<br/>
4) Childline India<br/>
5) SEEDS<br/>
","-<strong>5) SEEDS </strong><br/>
<strong>Explanation:</strong><br/>
The World Health Organization(WHO) has accorded the World No Tobacco Day Award 2020 to Socio-Economic and Educational Development Society(SEEDS), an Indian non-governmental organization(NGO), one among the 3 SouthEast Asian Region awardees, for its efforts to ban pan masala, gutkha, e-cigarettes and hookah in Bihar and Jharkhand.<br/>
</div></div><br/></li>"
"<li><strong>Who has won the 2020 Christophe Mérieux Prize? </strong><br/>
1) QuarraishaAbdool Karim<br/>
2) Charles Kao<br/>
3) Heiko Jessen<br/>
4) Allen Bard<br/>
5) Mildred Dresselhaus<br/>
","-<strong>1) QuarraishaAbdool Karim </strong><br/>
<strong>Explanation:</strong><br/>
South African HIV researcher, Professor, QuarraishaAbdool Karim has won a 2020 Christophe Mérieux Prize (French prize) for her work at the Durban-based Centre for the AIDS Programme of Research in South Africa(Caprisa) with a prize amount of € 500 000 (around R9 577 995).<br/>
</div></div><br/></li>"
"<li><strong>The Expert Committees on Rationalisation of Film Media Units and on Review of Autonomous Bodies submitted its report to Minister of Information and broadcasting recently. Who heads the committee? </strong><br/>
1) Amit Khare<br/>
2) Rajiv Kumar<br/>
3) BimalJulka<br/>
4) AnupamKher<br/>
5) Sanjay Dhotre<br/>
","-<strong>3) BimalJulka </strong><br/>
<strong>Explanation:</strong><br/>
Expert Committees on Rationalisation/Closure/Merger of Film Media Units, and on Review of Autonomous Bodies under the aegis of Ministry of Information and Broadcasting (MIB) submitted their report to Union Minister for Information and Broadcasting Prakash Javadekar during a meet in New Delhi. Both committees were headed by BimalJulka for rationalisation and professionalisation of film institutes.<br/>
</div></div><br/></li>"
"<li><strong>The Ministry of Defence has ordered Ordnance Factory Board (OFB)to supply Infantry Combat Vehicles (ICVs) for the Indian army. Where is the HQ of OFB located? </strong><br/>
1) Kolkata<br/>
2) New Delhi<br/>
3) Mumbai<br/>
4) Bengaluru<br/>
5) Lucknow<br/>
","-<strong>1) Kolkata </strong><br/>
<strong>Explanation:</strong><br/>
In a big boost to the Centre’s ‘Make in India’ initiative, the Acquisition Wing of Ministry of Defence (MoD), with the approval of Minister of DefenceRajnath Singh, has ordered Ordnance Factory Board (OFB) in Telangana’s Medak, to supply 156 BMP 2/2k Infantry Combat Vehicles (ICVs) worth Rs 1,094 crore for the Indian army. There are plans to induct these advanced feature vehicles into the army by 2023.Ordnance Factories under the aegis of its corporate headquarters Ordnance Factory Board, Kolkata, WB.<br/>
</div></div><br/></li>"
"<li><strong>Which space agency has partnered with NASA to host a deep-space ground stationto support human spaceflight missions to the Moon, Mars and beyond? </strong><br/>
1) Japan Aerospace Exploration Agency (JAXA)<br/>
2) South African National Space Agency(SANSA)<br/>
3) Centre national d’étudesspatiales (CNES)<br/>
4) Indian Space Research Organisation (ISRO)<br/>
5) China National Space Administration (CNSA)<br/>
","-<strong>2) South African National Space Agency (SANSA) </strong><br/>
<strong>Explanation:</strong><br/>
The South African National Space Agency(SANSA) has partnered with National Aeronautics and Space Administration(NASA) to host a deep-space ground station to support human spaceflight missions to the Moon, Mars and beyond. South Africa became the 4th country(4th site)after the United States of America, Spain and Australia to host a deep space ground station.<br/>
</div></div><br/></li>"
"<li><strong>What is the name of rare asteroid which was discovered by astronomers at Asteroid Terrestrial-impact Last Alert System (ATLAS)? </strong><br/>
1) 2018 LB2<br/>
2) 2020 LB3<br/>
3) 2019 LD2<br/>
4) 2019 LD1<br/>
5) 2020 LA2<br/>
","-<strong>3) 2019 LD2 </strong><br/>
<strong>Explanation:</strong><br/>
The Institute for Astronomy at the University of Hawaii’s Asteroid Terrestrial-impact Last Alert System (ATLAS) revealed the discovery of a rare asteroid called 2019 LD2 with a comet-like-tail among the Jupiter Trojans, moving in the same orbit as Jupiter moves around the sun.<br/>
</div></div><br/></li>"
"<li><strong>Name the sports &amp; youth affairs minister of India, who has launched 25 day Khelo India Community Coach Development programme for Physical Education teachers and community coaches.</strong><br/>
1) Santosh Kumar Gangwar<br/>
2) KirenRijiju<br/>
3) Rao Inderjit Singh<br/>
4) Raj Kumar Singh<br/>
5) Shripad Yesso Naik<br/>
","-<strong>2) KirenRijiju </strong><br/>
<strong>Explanation:</strong><br/>
Union Minister of Youth Affairs and Sports, KirenRijiju inaugurated &amp; launched a 25 day Khelo India Community Coach Development programme, an online development programme to equip 15,000 Physical Education(PE) Teachers and community coaches across India to train students to take up fitness and sport as a way of life.The Ministry of Human Resource Development(HRD) &amp; the sports ministry ensures to take this programme to every school in India.<br/>
</div></div><br/></li>"
"<li><strong>Pakistan’s Riaz Sheikh who passed away in June 2020 is associated with which sport? </strong><br/>
1) Tennis<br/>
2) Hockey<br/>
3) Cricket<br/>
4) Badminton<br/>
5) Kabaddi<br/>
","-<strong>3) Cricket </strong><br/>
<strong>Explanation:</strong><br/>
Former Pakistani first class cricketer Riaz Sheikh passed away at the age of 51 in Karachi, Pakistan after testing positive for the novel coronavirus. He became the second professional cricketer in Pakistan to die due to COVID-19. He was born on 24th December 1968 in Karachi, Sind, Pakistan.<br/>
</div></div><br/></li>"
"<li><strong>When was world bicycle day observed annually? </strong><br/>
1) June 30<br/>
2) May 31<br/>
3) May 3<br/>
4) July 30<br/>
5) June 3<br/>
","-<strong>5) June 3 </strong><br/>
<strong>Explanation:</strong><br/>
World Bicycle Day is celebrated every year to promote simple, affordable, reliable, clean and eco-friendly sustainable transportation. The United Nations General Assembly (UNGA) declared June 3rd as World Bicycle Day in April 2018.<br/>
</div></div><br/></li>"
"<li><strong>The International Sex Workers Day was observed every year on ______. </strong><br/>
1) June 2<br/>
2) June 20<br/>
3) June 22<br/>
4) May 20<br/>
5) May 22<br/>
","-<strong>1) June 2 </strong><br/>
<strong>Explanation:</strong><br/>
Every year June 2nd is celebrated as the International Sex Workers Day ensure that the sex workers enjoy the same rights as all the other human beings and tackle the abuse and trafficking problems.<br/>
</div></div><br/></li>"
"<li><strong>A team of Archaeological Survey of India (ASI) has discovered a 1100-year-old monolithic sandstone Shiva lingam in which country (recently)? </strong><br/>
1) Vietnam<br/>
2) Cambodia<br/>
3) Laos<br/>
4) Myanmar<br/>
5) Thailand<br/>
","-<strong>1) Vietnam </strong><br/>
<strong>Explanation:</strong><br/>
A 4-member team of Archaeological Survey of India (ASI) has discovered a 1100-year-old monolithic sandstone Shiva lingam, a representation of the Hindu deity Shiva, at the Cham Temple Complex located in My Son Sanctuary of Quang Nam Province, Vietnam.<br/>
</div></div><br/></li>"
"<li><strong>JyothiSurekha who is in news recently is associated with which sport? </strong><br/>
1) Rowing<br/>
2) Wrestling<br/>
3) Archery<br/>
4) Weightlifting<br/>
5) Shooting<br/>
","-<strong>3) Archery </strong><br/>
<strong>Explanation:</strong><br/>
Archer V. JyothiSurekha has been recommended for the for the Rajiv Gandhi Khel Ratna Award by the Government of Andhra Pradesh.<br/>
</div></div><br/></li>"
"<li><strong>What is the capital of Costa Rica? </strong><br/>
1) Managua<br/>
2) Panama City<br/>
3) Rio<br/>
4) Monrovia<br/>
5) San José<br/>
","-<strong>5) San José </strong><br/>
<strong>Explanation:</strong><br/>
The capital and currency of Costa Rica are San José&amp;Costa Rican colón respectively.<br/>
</div></div><br/></li>"
"<li><strong>Where is the HQ of Archaeological Survey of India (ASI) located? </strong><br/>
1) Kolkata<br/>
2) Mumbai<br/>
3) Bengaluru<br/>
4) New Delhi<br/>
5) Chennai<br/>
","-<strong>4) New Delhi </strong><br/>
<strong>Explanation:</strong><br/>
The HQ of Archaeological Survey of India (ASI) located at New Delhi.<br/>
</div></div><br/></li>"
"<li><strong>Who is the present governor of Telangana? </strong><br/>
1) BanwarilalPurohit<br/>
2) Ramesh Bais<br/>
3) BiswaBhusanHarichandan<br/>
4) Anandiben Patel<br/>
5) TamilisaiSoundararajan<br/>
","-<strong>5) Tamilisai Soundararajan </strong><br/>
<strong>Explanation:</strong><br/>
Tamilisai Soundararajan is the present governor of Telangana.<br/>
</div></div><br/></li>"
"<li><strong>Which among the following country is not the part of G7? </strong><br/>
1) Canada<br/>
2) France<br/>
3) Germany<br/>
4) Italy<br/>
5) India<br/>
","-<strong>5) India </strong><br/>
<strong>Explanation:</strong><br/>
The Group of Seven (G7) is an international intergovernmental economic organization consisting of the seven major countries: Canada, France, Germany, Italy, Japan, the United Kingdom and the United States.<br/>
</div></div><br/></li>"
"<li><strong>Which organization is organizing the “My Life, My Yoga” (Jeevan Yoga) contest along with AYUSH ministry? </strong><br/>
1) Centre for Cultural Resources and Training<br/>
2) Nehru Memorial Museum and Library<br/>
3) SahityaAkademi<br/>
4) Indian Council for Cultural Relations<br/>
5) National school for Culture<br/>
","-<strong>4) Indian Council for Cultural Relations </strong><br/>
<strong>Explanation:</strong><br/>
Prime Minister of India Narendra Modi during his Mann Ki Baat address to the nation announced the “My Life – My Yoga”(Jeevan Yoga) Video Blogging Contest, as one of the activities related to the observation of the 6th International Day of Yoga (IDY) on June 21st, 2020. The contest being organized by the Ministry of AYUSH and the Indian Council for Cultural Relations (ICCR) is open for participants from all countries.<br/>
</div></div><br/></li>"
"<li><strong>According to NITI Aayog vice chairman Rajiv Kumar, India can access to carbon credits worth ________ by propagating the natural farming and agroecology. </strong><br/>
1) 30-40 billion<br/>
2) 50-60 billion<br/>
3) 40-50 billion<br/>
4) 60-70 billion<br/>
5) 90-100 billion<br/>
","-<strong>2) 50-60 billion </strong><br/>
<strong>Explanation:</strong><br/>
The National Institution for Transforming India(NITI) Aayog vice-chairman Rajiv Kumar stated that India’s access to USD 50-60 billion worth of carbon credits can be achieved if it propagates natural farming and agroecology while suggesting adoption of innovative farming methods based on ecological principles during a virtual high-level round-table on ‘Agroecology and Regenerative Agriculture’.<br/>
</div></div><br/></li>"
